"Name","Id","PM"
"AdobeCollabSync","9072","4280320"
"AdobeCollabSync","13076","7962624"
"agent_ovpnconnect","4476","1880064"
"AggregatorHost","1448","4894720"
"amdfendrsr","2440","2523136"
"ApplicationFrameHost","17204","15745024"
"armsvc","4428","3727360"
"atieclxx","13152","4169728"
"atiesrxx","2488","1695744"
"audiodg","12880","8126464"
"chrome","748","8192000"
"chrome","1672","51126272"
"chrome","2972","14712832"
"chrome","5384","2297856"
"chrome","9980","13410304"
"chrome","10056","150740992"
"chrome","13256","16269312"
"chrome","17360","44212224"
"cmd","5812","2539520"
"cmd","16196","2269184"
"cmd","16512","2154496"
"Code","164","95989760"
"Code","2388","89845760"
"Code","2624","224993280"
"Code","3696","206184448"
"Code","3864","11448320"
"Code","4968","124055552"
"Code","6216","15360000"
"Code","6992","103661568"
"Code","8024","391348224"
"Code","8232","408514560"
"Code","10264","108228608"
"Code","15644","126406656"
"conhost","7036","1507328"
"conhost","13196","3133440"
"conhost","14956","1155072"
"conhost","15792","1548288"
"conhost","16596","1474560"
"CrossDeviceService","14036","20537344"
"csrss","1212","2732032"
"csrss","14232","3497984"
"ctfmon","13704","7634944"
"dasHost","5184","4276224"
"dllhost","6688","2281472"
"dllhost","9728","7245824"
"dwm","7940","89882624"
"explorer","10020","157990912"
"firefox","2576","31322112"
"firefox","3036","43917312"
"firefox","5552","29179904"
"firefox","7448","61014016"
"firefox","7508","29057024"
"firefox","8340","44683264"
"firefox","8360","29446144"
"firefox","11812","68808704"
"firefox","12244","22274048"
"firefox","13896","370401280"
"firefox","14236","222322688"
"firefox","14368","38498304"
"firefox","15744","21946368"
"firefox","17756","381530112"
"fontdrvhost","1688","2502656"
"fontdrvhost","14008","4153344"
"Idle","0","61440"
"jusched","6716","3735552"
"LsaIso","1444","1499136"
"lsass","1480","11788288"
"Memory Compression","3240","122880"
"MpDefenderCoreService","4640","17158144"
"MsMpEng","4604","339861504"
"NisSrv","7324","4399104"
"OfficeClickToRun","4808","36556800"
"OpenConsole","14820","2834432"
"OpenVPNConnect","8072","49201152"
"OpenVPNConnect","9864","98541568"
"OpenVPNConnect","10692","48226304"
"OpenVPNConnect","11120","17186816"
"ovpnhelper_service","4556","1482752"
"pet","7332","1916928"
"PhoneExperienceHost","17920","62660608"
"powershell","16948","61796352"
"Registry","280","15081472"
"RtkAudUService64","2324","3043328"
"RtkAudUService64","4660","3858432"
"RuntimeBroker","5004","8638464"
"RuntimeBroker","11776","2449408"
"RuntimeBroker","16972","12730368"
"RuntimeBroker","17788","2342912"
"RuntimeBroker","17836","2232320"
"SDXHelper","7768","16621568"
"SearchHost","17196","193220608"
"SearchIndexer","7816","37904384"
"Secure System","236","176128"
"SecurityHealthService","11592","4612096"
"SecurityHealthSystray","17484","1937408"
"services","1424","7213056"
"ShellHost","16628","13996032"
"sihost","18404","6901760"
"smartscreen","6952","2813952"
"smss","808","1175552"
"SMSvcHost","4572","27881472"
"SMSvcHost","5744","30031872"
"spoolsv","4080","9035776"
"StartMenuExperienceHost","17612","57245696"
"svchost","796","3207168"
"svchost","1096","1421312"
"svchost","1156","2326528"
"svchost","1528","1597440"
"svchost","1656","13705216"
"svchost","1732","9277440"
"svchost","1780","8339456"
"svchost","1832","3756032"
"svchost","1944","1462272"
"svchost","1960","5386240"
"svchost","2056","6623232"
"svchost","2120","1478656"
"svchost","2128","2818048"
"svchost","2156","2895872"
"svchost","2164","6279168"
"svchost","2188","1986560"
"svchost","2204","3842048"
"svchost","2220","2387968"
"svchost","2232","2207744"
"svchost","2336","1892352"
"svchost","2380","37081088"
"svchost","2520","17739776"
"svchost","2596","1708032"
"svchost","2760","2842624"
"svchost","2796","4337664"
"svchost","2836","1961984"
"svchost","2928","2363392"
"svchost","3184","6123520"
"svchost","3308","2437120"
"svchost","3380","2105344"
"svchost","3388","2330624"
"svchost","3532","3866624"
"svchost","3536","3563520"
"svchost","3580","13758464"
"svchost","3604","1658880"
"svchost","3656","3817472"
"svchost","3796","21794816"
"svchost","3808","2985984"
"svchost","3816","2650112"
"svchost","3988","5664768"
"svchost","4016","2781184"
"svchost","4104","18878464"
"svchost","4224","4423680"
"svchost","4452","4374528"
"svchost","4460","2015232"
"svchost","4468","34222080"
"svchost","4500","28471296"
"svchost","4508","5611520"
"svchost","4516","1368064"
"svchost","4524","3153920"
"svchost","4532","8683520"
"svchost","4540","1642496"
"svchost","4548","1769472"
"svchost","4564","36048896"
"svchost","4580","4603904"
"svchost","4588","1933312"
"svchost","4668","6930432"
"svchost","5456","2596864"
"svchost","5556","1761280"
"svchost","5796","1794048"
"svchost","6444","5611520"
"svchost","6656","2215936"
"svchost","6784","2060288"
"svchost","6932","1818624"
"svchost","7296","4882432"
"svchost","7528","10641408"
"svchost","7720","2486272"
"svchost","7772","231051264"
"svchost","8456","3543040"
"svchost","8720","5550080"
"svchost","9404","2506752"
"svchost","9556","3080192"
"svchost","9836","2064384"
"svchost","10100","2203648"
"svchost","10644","3317760"
"svchost","11196","3526656"
"svchost","11640","4157440"
"svchost","11712","10506240"
"svchost","12180","3211264"
"svchost","12904","7815168"
"svchost","15968","3862528"
"svchost","16064","5337088"
"svchost","16588","2109440"
"svchost","16964","4591616"
"svchost","17720","1863680"
"System","4","57344"
"SystemSettings","12976","74711040"
"taskhostw","11784","7368704"
"UserOOBEBroker","9580","2113536"
"vmcompute","7328","2805760"
"WavesSvc64","12572","90664960"
"Widgets","16880","9326592"
"WidgetService","8364","4820992"
"WindowsTerminal","3456","29122560"
"wininit","1348","1531904"
"winlogon","17904","2904064"
"WmiPrvSE","8668","6066176"
"wslservice","4688","6688768"
